"","Date","BIDU"
"1","2018-03-01",249.75
"2","2018-03-02",250.600006
"3","2018-03-05",254.889999
"4","2018-03-06",258.730011
"5","2018-03-07",257.26001
"6","2018-03-08",257.140015
"7","2018-03-09",263.559998
"8","2018-03-12",265.670013
"9","2018-03-13",258.350006
"10","2018-03-14",259.350006
"11","2018-03-15",262.709991
"12","2018-03-16",262.390015
"13","2018-03-19",252.830002
"14","2018-03-20",254.460007
"15","2018-03-21",250.050003
"16","2018-03-22",236.110001
"17","2018-03-23",230.080002
"18","2018-03-26",235.940002
"19","2018-03-27",230.960007
"20","2018-03-28",223.100006
"21","2018-03-29",223.190002
"22","2018-04-02",220.059998
"23","2018-04-03",220.020004
"24","2018-04-04",224.300003
"25","2018-04-05",225.570007
"26","2018-04-06",219.820007
"27","2018-04-09",224.330002
"28","2018-04-10",231.5
"29","2018-04-11",229.649994
"30","2018-04-12",231.339996
"31","2018-04-13",228.169998
"32","2018-04-16",229.899994
"33","2018-04-17",235.669998
"34","2018-04-18",237.75
"35","2018-04-19",237.110001
"36","2018-04-20",232.5
"37","2018-04-23",231.419998
"38","2018-04-24",231.410004
"39","2018-04-25",231.410004
"40","2018-04-26",238.690002
"41","2018-04-27",251.929993
"42","2018-04-30",250.899994
"43","2018-05-01",252.130005
"44","2018-05-02",249.800003
"45","2018-05-03",252.460007
"46","2018-05-04",251.729996
"47","2018-05-07",253.899994
"48","2018-05-08",263.089996
"49","2018-05-09",261.290009
"50","2018-05-10",268.679993
"51","2018-05-11",269.910004
"52","2018-05-14",272.26001
"53","2018-05-15",271.920013
"54","2018-05-16",284.070007
"55","2018-05-17",279.679993
"56","2018-05-18",253.009995
"57","2018-05-21",240.509995
"58","2018-05-22",239.970001
"59","2018-05-23",240.389999
"60","2018-05-24",240.279999
"61","2018-05-25",243.800003
"62","2018-05-29",242.050003
"63","2018-05-30",241.630005
"64","2018-05-31",242.559998
"65","2018-06-01",248.460007
